year,age,networth,networth_infadj,wgt
2016,71,217961.30777903044,231715.88228509188,6427.136675511434
2016,71,218096.9785794814,231860.11466994564,6428.350591859025
2016,71,217973.64148816234,231728.99432007858,6414.477293976153
2016,71,217973.64148816234,231728.99432007858,6428.487972350331
2016,71,218096.9785794814,231860.11466994564,6425.2568218547
2016,20,12.333709131905298,13.112034986707325,6500.518974208898
2016,20,12.333709131905298,13.112034986707325,6463.122354340188
2016,20,6.166854565952649,6.556017493353663,6474.2793409997485
2016,20,12.333709131905298,13.112034986707325,6481.578552029178
2016,20,12.333709131905298,13.112034986707325,6492.952368168751
2016,30,362734.38556933485,385624.94895906246,4999.900972053461
2016,30,332516.79819616687,353500.46324162954,5026.843650179604
2016,30,306369.33483652765,325702.94906981004,5020.846189357712
2016,30,329803.3821871477,350615.8155445539,5015.081091752127
2016,30,376054.79143179255,399785.94674470637,5014.142111452593
2016,33,48866.15558060879,51949.88261733443,5692.940950697071
2016,33,50222.86358511838,53392.20646587224,5747.5234914368375
2016,33,49236.166854565956,52343.24366693565,5705.92145852401
2016,33,50839.54904171364,54047.808215207595,5714.2799564538855
2016,33,48496.14430665164,51556.52156773321,5722.40408038235
2016,41,249880.94701240136,265649.8288306904,6151.198236425293
2016,41,566980.6087936866,602760.2483389358,4124.085420708267
2016,41,235635.51296505073,250505.42842104347,6194.967560746032
2016,41,387907.4859075536,412386.61236693215,6184.361313570675
2016,41,160708.22998872603,170849.81587679646,6210.2963878218125
2016,25,-13036.7305524239,-13859.420980949642,3108.598690594758
2016,25,-13036.7305524239,-13859.420980949642,3109.897229595189
2016,25,-13036.7305524239,-13859.420980949642,3120.1565686734516
2016,25,-13036.7305524239,-13859.420980949642,3105.1455111109867
2016,25,-13036.7305524239,-13859.420980949642,3113.6603423277134
2016,29,736815.7835400226,783312.9701058957,2629.5279810966526
2016,29,739405.8624577227,786066.4974531042,2539.307440365208
2016,29,738172.4915445321,784755.2939544335,2603.193592748557
2016,29,739282.5253664036,785935.3771032372,2578.177309332066
2016,29,738049.1544532131,784624.1736045664,2534.817793422168
2016,30,22546.020293122885,23968.79995570099,4554.886347566488
2016,30,22546.020293122885,23968.79995570099,4520.467924150926
2016,30,23779.391206313416,25280.003454371727,4525.117949431793
2016,30,23779.391206313416,25280.003454371727,4526.705094502257
2016,30,22546.020293122885,23968.79995570099,4546.946552401906
2016,21,20375.287485907553,21661.0817980405,6007.324928776609
2016,21,20375.287485907553,21661.0817980405,5978.368715983814
2016,21,20251.9503945885,21529.96144817343,5990.781089564315
2016,21,20375.287485907553,21661.0817980405,5991.534213366931
2016,21,20251.9503945885,21529.96144817343,6017.8489069501065
2016,48,12087.034949267192,12849.79428697318,5025.906460871596
2016,48,13320.405862457723,14160.997785643913,5087.131567821068
2016,48,13320.405862457723,14160.997785643913,5041.0565847177695
2016,48,13320.405862457723,14160.997785643913,5068.455812120648
2016,48,13320.405862457723,14160.997785643913,5091.975663341389
2016,62,219663.35963923336,233525.34311325746,5773.330323392527
2016,62,219663.35963923336,233525.34311325746,5834.045957864243
2016,62,219663.35963923336,233525.34311325746,5798.132272399994
2016,62,221020.06764374295,234967.66696179527,5702.171575458772
2016,62,219786.69673055242,233656.46346312456,5869.959601118458
2016,83,505.6820744081173,537.5934344550004,7344.106153494543
2016,83,518.0157835400225,550.7054694417077,7352.295438268552
2016,83,518.0157835400225,550.7054694417077,7354.76348807453
2016,83,518.0157835400225,550.7054694417077,7348.747436075342
2016,83,518.0157835400225,550.7054694417077,7361.889478883852
2016,37,12333.709131905298,13112.034986707326,5332.913671011826
2016,37,12333.709131905298,13112.034986707326,5409.160730016944
2016,37,12333.709131905298,13112.034986707326,5372.827009545612
2016,37,12333.709131905298,13112.034986707326,5364.332355180572
2016,37,12333.709131905298,13112.034986707326,5394.60518609487
2016,45,2012861.3303269448,2139884.1098306356,2311.949919718124
2016,45,2012861.3303269448,2139884.1098306356,2336.8240299208996
2016,45,2014094.7012401354,2141195.3133293064,2289.4271071392773
2016,45,2012861.3303269448,2139884.1098306356,2398.5800852100033
2016,45,2012861.3303269448,2139884.1098306356,2408.682872707649
2016,68,650048.1397970688,691069.8039744097,4126.725085561505
2016,68,645114.6561443066,685824.9899797267,3980.6367320915874
2016,68,647828.0721533258,688709.6376768022,4075.41218166677
2016,68,647581.3979706877,688447.3969770682,4045.520543823194
2016,68,662505.1860202932,704312.9593109841,3963.5187827108953
2016,45,10942466.741826382,11632997.44020674,490.5265085461905
2016,45,11646721.533258174,12381694.637947729,499.40724228854685
2016,45,5226779.255918828,5556618.186666831,505.1004821002263
2016,45,4306931.22886133,4578722.617358198,486.7643073642059
2016,45,5863198.647125141,6233199.191980928,506.1131227907473
