Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2035,0.5342281108667842,0.3708586039503383,0.03984807478955344,0.03632748399183192,1.8055171138215027,1.8434195921994443,1.4325461746069958,0.4108734175924484,0.6216182320241778,0.37297093921450675,0.24864729280967102,0.03480071589495886,0.01,0.04526540687159879,0.8931218085641528,0.09967255174930671,0.005470627227984056,0.5728040968863664,0.36947766396496073,0.04272545758675407,0.038950649840515154,1.8733292937377397,1.9579400902441604,1.5078572311825025,0.4500828590616579,0.6091201042587289,0.3654720625552373,0.24364804170349158,0.03559671839075272,0.01,0.046736662021662184,0.9611923646739406,0.10842016001572814,0.0058835748785447525
2036,0.537006997328945,0.37098973973160504,0.03963648647284943,0.037053454189360985,1.802313074065819,1.836559775022414,1.4180294211571551,0.418530353865259,0.6404727548477733,0.38428365290866406,0.25618910193910926,0.035551570074016145,0.01,0.04566921308077715,0.8974502257406249,0.10035459042446417,0.005514939079218573,0.5758196818378787,0.3693826960554642,0.042501250716453824,0.03973152839289259,1.8750450050292007,1.9532227310232075,1.4990414538236956,0.45418127719951196,0.6266725853425086,0.3760035512055051,0.2506690341370035,0.03624774290943974,0.01,0.047090152149021916,0.9665011111221511,0.10920031284475665,0.005929032697818456
2037,0.5394051118868358,0.3709826964804162,0.03950063634347299,0.03829773309852155,1.8012736820440471,1.8303027596555275,1.4055582033762217,0.42474455627930574,0.6595257977797089,0.39571547866782536,0.2638103191118835,0.03621976484129989,0.01,0.04598718786213988,0.9014751017344559,0.10095327888331504,0.005553504169294931,0.5784298462990488,0.3691707774024558,0.04235841764447935,0.04106848838886994,1.878595079715742,1.9489821137116508,1.4919413716479426,0.45704074206370826,0.6444228467796658,0.3866537080677994,0.25776913871186635,0.03682072268157902,0.01,0.04736226934052662,0.9714395672198484,0.10988959173777074,0.005968530876260957
2038,0.5416157444932435,0.37096046271531447,0.03944587467144292,0.038996303208557306,1.802782074372375,1.82499904656372,1.3950859268715317,0.4299131196921885,0.6794935791680723,0.40769614750084343,0.27179743166722886,0.03681794073366805,0.01,0.04622493317400511,0.9052238609441023,0.10150938332225613,0.0055886068893646465,0.5808416368386647,0.3689620115988349,0.042302696410959954,0.04182056681501131,1.8844337768259527,1.9456087671134739,1.486555282610321,0.45905348450315286,0.6631308236927197,0.39787849421563176,0.26525232947708793,0.03732817862172853,0.01,0.04755775039082945,0.976042003236028,0.11053189754101611,0.006004501848314043
2039,0.5437350287028854,0.37098352892277814,0.03945885103296839,0.03969262638973163,1.8061401721249901,1.820625032286412,1.3861976885720313,0.4344273437143805,0.6999041392549312,0.41994248355295877,0.27996165570197246,0.0373609411269503,0.01,0.04640500245665329,0.9087094095302779,0.10204183125707901,0.0056215741776812385,0.5831571544187022,0.3688139540579556,0.04231971469616522,0.04257044117046352,1.8918572101228783,1.9430910648041642,1.4824848238897275,0.46060624091443675,0.682287310388585,0.409372386233151,0.27291492415543406,0.037784810101717345,0.01,0.0476995168577474,0.9803263871096092,0.11114744031778757,0.0060383419634496265
2040,0.5457813296690737,0.37104878582042805,0.039476363574964105,0.04038778761936074,1.811110516387219,1.8170444327339474,1.3786398203143688,0.4384046124195785,0.7207844934547503,0.4324706960728502,0.28831379738190005,0.03785697445335287,0.01,0.046535591576451894,0.9119688492546385,0.10255707828549185,0.005652786551297686,0.5853949039784341,0.36872095242764463,0.04234161340476014,0.0433191920236836,1.900651973292458,1.9412953783721885,1.479499577138268,0.4617958012339205,0.7019206602569836,0.42115239615419015,0.2807682641027935,0.038198577219508575,0.01,0.04779542816135959,0.9843364247268207,0.11174287003285856,0.0060704310752259134
2041,0.547721103177006,0.3711200986114719,0.03948521432803036,0.041079052145810285,1.8173881904354703,1.8140050454378565,1.3721275653481404,0.44187748008971617,0.7421010418122163,0.44526062508732983,0.2968404167248864,0.03831190535692561,0.01,0.04662262178687503,0.9150342394195043,0.10305050461696741,0.005682032041142052,0.5875174778100207,0.36864473453165186,0.04235413497532439,0.0440637805342788,1.9105255521640256,1.9399604217121027,1.4773264041101315,0.4626340176019713,0.7219985800898235,0.4331991480538941,0.28879943203592945,0.03857511980640428,0.01,0.047851095645792804,0.9881097788168474,0.11231281948925365,0.00610051355686903
2042,0.5496023866031193,0.37122214017988275,0.039488931477434125,0.041769751246498066,1.824911368033756,1.81153514909207,1.3665675050075858,0.4449676440844841,0.7639064383769502,0.4583438630261702,0.30556257535077996,0.038731420323722426,0.01,0.04667195559109847,0.9179247647330249,0.10353330075673436,0.005709935082819732,0.5895748745466052,0.36860764429874465,0.04236095473617358,0.044807661127382825,1.9214350014618162,1.9391221738495745,1.4758916391870867,0.46323053466248787,0.7425722704578828,0.4455433622747296,0.29702890818315314,0.0389199196698501,0.01,0.04787211552515807,0.9916697748836907,0.11286907970737287,0.0061292330286239535
2043,0.5514014612457735,0.3713434620902474,0.0394913726544223,0.04245788311936641,1.833178928353863,1.8093960651316308,1.3615518723722408,0.4478441927593898,0.7860450933027036,0.47162705598162225,0.3144180373210813,0.03912281408668035,0.01,0.04669202791971126,0.920628634080865,0.10399978920620458,0.005736403968050677,0.5915392639641751,0.36859579614707966,0.04236604208511422,0.04554849539991139,1.932870054716681,1.938525824196526,1.4747761586790358,0.4637496655174903,0.7634898267294089,0.4580938960376453,0.30539593069176363,0.03924011992983878,0.01,0.04786671547903886,0.9950058868074527,0.11340507789965291,0.006156457553803859
2044,0.55304245918657,0.3714363879099466,0.03947617073673737,0.043137283487618396,1.8416119425450266,1.80721492511451,1.3566247354800334,0.4505901896344766,0.8083120117749885,0.48498720706499315,0.3233248047099953,0.03949189133974754,0.01,0.04668938634810046,0.9231374631946698,0.1044339716670375,0.005760768860924267,0.5933257195298852,0.3685588301611636,0.042351589860043205,0.04627938017625875,1.9442299368335585,1.9377660878667768,1.473497607057833,0.4642684808089439,0.7845538829595425,0.4707323297757255,0.31382155318381705,0.03954142402480036,0.01,0.047841223834410564,0.998110924821423,0.11390273640665212,0.006181425650898355
2045,0.5544992168362121,0.371477238488144,0.03294829600112395,0.043250912431257914,1.8500559767655667,1.8048589490053275,1.3516644698292835,0.45319447917604405,0.8306525115604717,0.49839150693628315,0.33226100462418856,0.039840941611262184,0.01,0.046666494880490676,0.9254672979030263,0.10482797744004628,0.005782802806277343,0.5949012306379224,0.36846949707278825,0.01175119490949899,0.04640227309751746,1.9553521355245271,1.936687995144469,1.4719236384775112,0.4647643566669579,0.8057141617450267,0.483428497047016,0.32228566469801073,0.039826065311892186,0.01,0.047797840260182564,1.0010039352050009,0.11435269828021351,0.006203838864713396
2046,0.5560161883537864,0.3715106200692751,0.03125190615579367,0.04392525171115377,1.8582173840271439,1.8043418497731873,1.3504273588150506,0.45391449095813685,0.8463167086868221,0.5077900252120933,0.33852668347472875,0.04010962743003241,0.01,0.046678189491375324,0.9279157521688823,0.10524665502057673,0.005803881100535353,0.5973535748633912,0.36851394322439307,0.012503552422559357,0.04719090807123816,1.965910552583283,1.944857744803266,1.4879734657431485,0.4568842790601174,0.7965618114002243,0.47793708684013453,0.3186247245600898,0.039817558423214494,0.01,0.047963241865183144,1.0050091071319878,0.11506690656537759,0.006229233301992012
2047,0.5574438949317957,0.3715034852543367,0.02964800675508457,0.04459548387922595,1.8667144843842367,1.8042580205184977,1.350303069835919,0.45395495068257863,0.8606856909138626,0.5164114145483176,0.3442742763655449,0.040342683699427485,0.01,0.04667974661624476,0.9303162554135265,0.10565013809575209,0.005823330749086874,0.5996215384577773,0.3684876461107112,0.013077900814469648,0.047969697591074625,1.9772195885122619,1.9528042557288225,1.5040378756358739,0.4487663800929487,0.7886361881273136,0.4731817128763881,0.3154544752509255,0.039791966107913496,0.01,0.0480949689753834,1.0088967887218934,0.11574260770049473,0.0062523415431425065
2048,0.5588130305201915,0.37147317804824187,0.028729708742190614,0.044705014663918574,1.8756622900906008,1.804684471345039,1.3513401962100084,0.4533442751350304,0.8738701564676536,0.5243220938805924,0.34954806258706134,0.04054103531422146,0.01,0.046671261693464486,0.9326772738039263,0.10604519540990975,0.005841493926180002,0.6017492453903226,0.3684155883402081,0.014155576677274538,0.04813991361029007,1.9892995569351917,1.960668782714035,1.5202365568178204,0.44043222589621456,0.7817716668622855,0.46906300011737123,0.31270866674491427,0.039749601113843555,0.01,0.04819607187495234,1.0126747807957188,0.11638902518025701,0.006273626032187746
