year,age,hours_per_week,weeks_worked,weight
2023,47,0,0,192565
2023,77,0,0,122031
2023,57,0,0,168336
2023,56,50,52,162819
2023,24,20,20,247495
2023,80,0,0,144350
2023,71,0,0,149113
2023,70,0,0,107460
2023,69,0,0,118796
2023,67,40,52,165048
2023,56,40,52,168336
2023,62,40,26,152866
2023,63,0,0,140239
2023,65,0,0,141007
2023,67,7,52,151908
2023,64,38,36,147903
2023,62,0,0,154328
2023,61,30,30,152866
2023,36,30,12,332543
2023,31,40,52,233577
2023,63,25,52,136700
2023,61,14,7,124013
2023,61,40,52,130575
2023,61,40,52,124013
2023,32,40,52,233577
2023,80,0,0,123154
2023,72,10,50,109368
2023,31,6,12,234510
2023,32,50,52,264543
2023,45,0,0,155503
2023,67,0,0,151564
2023,65,0,0,151657
2023,85,0,0,135358
2023,63,40,52,147903
2023,75,0,0,133704
2023,77,0,0,144023
2023,78,0,0,133854
2023,67,0,0,119135
2023,67,43,52,118527
2023,59,40,52,150029
2023,57,40,52,141107
2023,68,0,0,119135
2023,67,0,0,118527
2023,85,0,0,125456
2023,85,0,0,135358
2023,32,22,40,233979
2023,34,22,40,263944
2023,76,0,0,135358
2023,69,0,0,135971
2023,75,0,0,131248
2023,58,60,52,152697
2023,75,0,0,133854
2023,31,60,28,264543
2023,28,0,0,239358
2023,61,0,0,169171
2023,72,7,52,149113
2023,41,40,51,149011
2023,42,40,52,157610
2023,58,0,0,200311
2023,53,50,52,172572
2023,55,25,52,152697
2023,37,40,52,160970
2023,55,30,52,141107
2023,59,40,52,150029
2023,55,40,24,162077
2023,52,50,52,172326
2023,47,50,52,166674
2023,44,45,52,214726
2023,57,40,52,141428
2023,64,0,0,141227
2023,74,20,52,138748
2023,76,0,0,131546
2023,50,40,52,141551
2023,47,40,52,134128
2023,26,40,52,363221
2023,53,0,0,172572
2023,51,52,52,157489
2023,55,40,52,152697
2023,59,50,52,162216
2023,22,24,12,197467
2023,46,55,50,0
2023,38,35,45,0
2023,61,40,32,0
2023,61,20,32,0
2023,29,45,52,0
2023,28,40,52,0
2023,36,0,0,0
2023,38,55,52,0
2023,36,40,52,0
2023,46,40,52,0
2023,38,30,52,0
2023,43,40,52,0
2023,43,40,40,0
2023,85,0,0,131546
2023,56,55,52,151409
2023,34,40,52,180024
2023,35,40,52,173016
2023,53,8,8,172964
2023,71,0,0,143125
2023,28,40,52,244920
