year,age,hours_per_week,weeks_worked,weight
2022,42,40,52,235419
2022,62,32,38,193350
2022,64,40,52,165265
2022,26,48,52,206878
2022,24,40,44,275516
2022,36,55,52,165692
2022,38,40,52,234952
2022,72,0,0,205999
2022,72,0,0,221618
2022,64,0,0,193979
2022,67,0,0,208921
2022,77,0,0,201817
2022,42,45,52,235419
2022,31,38,26,167429
2022,66,0,0,213599
2022,62,40,52,236908
2022,85,0,0,201817
2022,76,0,0,201113
2022,31,50,52,243082
2022,23,40,50,202799
2022,30,5,12,190758
2022,30,40,52,253802
2022,63,7,52,288315
2022,39,40,52,0
2022,32,35,35,0
2022,46,40,52,0
2022,52,40,50,0
2022,21,0,0,0
2022,62,10,52,0
2022,68,5,52,0
2022,69,23,52,150761
2022,78,7,24,162950
2022,80,0,0,159028
2022,75,0,0,141074
2022,66,40,52,213008
2022,64,35,40,211633
2022,66,0,0,172536
2022,79,0,0,201258
2022,62,40,52,152558
2022,68,25,52,196025
2022,69,0,0,284493
2022,79,15,1,157523
2022,70,20,36,162655
2022,75,0,0,167152
2022,47,40,52,188942
2022,53,52,52,184529
2022,29,40,52,207363
2022,32,70,52,243082
2022,65,0,0,221259
2022,80,0,0,157523
2022,75,0,0,162950
2022,76,0,0,201258
2022,75,0,0,200556
2022,44,37,52,183373
2022,78,0,0,141074
2022,35,40,52,237666
2022,23,35,52,227744
2022,76,0,0,201113
2022,73,40,52,205999
2022,38,12,52,227606
2022,40,40,52,178112
2022,24,20,52,200490
2022,70,12,52,169888
2022,48,40,52,193838
2022,54,45,52,0
2022,38,45,52,0
2022,38,0,0,0
2022,51,0,0,219710
2022,44,0,0,152704
2022,78,0,0,144885
2022,33,0,0,167438
2022,62,0,0,167333
2022,68,0,0,162665
2022,64,5,52,150769
2022,37,40,52,234966
2022,85,0,0,141082
2022,85,0,0,159479
2022,68,24,28,220659
2022,67,30,52,213020
2022,55,0,0,218550
2022,49,36,52,201382
2022,72,0,0,184327
2022,71,30,52,154976
2022,61,40,52,218546
2022,77,0,0,157969
2022,73,0,0,154546
2022,64,0,0,164532
2022,68,0,0,163117
2022,80,0,0,157969
2022,48,40,52,163381
2022,55,35,52,200172
2022,63,40,9,217928
2022,64,40,4,164523
2022,85,0,0,144877
2022,28,0,0,263836
2022,30,25,32,167429
2022,44,0,0,153119
2022,38,36,52,165233
2022,40,45,52,220125
2022,70,0,0,170445
2022,69,0,0,153995
2022,65,0,0,163107
2022,71,0,0,167616
2022,44,0,0,178607
2022,40,40,50,178607
2022,76,0,0,176098
2022,44,55,52,152695
2022,53,50,52,219697
2022,21,40,52,289044
2022,69,40,52,172536
2022,59,90,52,217932
2022,70,0,0,169973
2022,69,80,52,153569
