,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),-2.610224980171617,-2.3340489459789078,-2.885416259041669,-2.936740133569368,-2.8604224325512813,-2.7713168324953035,-2.6876600331916563,-2.624676085469766,-2.582621978591865,-2.5584481418933036,-2.686470701483294,-5.213840759657369
1,Consumption ($C_t$),-0.7684870496100804,23.515857101172216,5.8712409799316365,0.348795626806865,-2.3732788136844754,-4.105651765060732,-5.329874570466863,-6.259898986722477,-6.985694596371163,-7.567250297698664,-0.2543678545470556,-15.27889166136928
2,Capital Stock ($K_t$),-1.714763792701592,-2.5198667695783064,-5.554105070734794,-6.89616703898064,-7.704177215899664,-8.271688323174821,-8.692095034426535,-9.019155819700716,-9.280161142194373,-9.488442377352948,-6.836306258234398,-12.314272267920783
3,Labor ($L_t$),-3.3709167236245,-1.9957942345096487,-1.0979671901157775,-0.24523982983447487,0.5204688967740728,1.1656978435255083,1.7134996796629818,2.169227258581767,2.548522805313237,2.864536255421908,0.4771324339552628,6.57411479553963
4,Real interest rate ($r_t$),-4.433647283037536,0.706538989070491,9.157899811914575,12.677293835574266,14.763221903645071,16.15903457405489,17.146425882005335,17.855070704985373,18.36345264545642,18.715885588344342,13.971431195355066,18.077315460071578
5,Wage rate,0.787221352049611,-0.3451530507612348,-1.8073082622120804,-2.6981372516348188,-3.363409769238134,-3.8916768475165253,-4.327046181557435,-4.6921529372671555,-5.0036607515661755,-5.272003349911472,-3.1281390076158093,-11.060806996486432
