Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{p,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{p,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform
2035,0.5342281108667842,0.3708586039503383,0.03984807478955344,0.03632748399183192,1.8055171138215027,1.8434195921994443,1.4325461746069958,0.4108734175924484,0.6216182320241778,0.37297093921450675,0.24864729280967102,0.03480071589495886,0.01,0.04526540687159879,0.8931218085641528,0.09967255174930671,0.005470627227984056,0.5206096769628593,0.3824678230413996,0.03883227580465968,0.035401418794723874,1.3169277672858863,1.6653827092929343,1.005904863192077,0.6594778461008572,0.5183715068230152,0.31102290409380917,0.20734860272920608,0.041397670711039676,0.01,0.05233580168924367,0.8439359259750943,0.09333145436383024,0.005457488956699094
2036,0.537006997328945,0.37098973973160504,0.03963648647284943,0.037053454189360985,1.802313074065819,1.836559775022414,1.4180294211571551,0.418530353865259,0.6404727548477733,0.38428365290866406,0.25618910193910926,0.035551570074016145,0.01,0.04566921308077715,0.8974502257406249,0.10035459042446417,0.005514939079218573,0.5233110238026781,0.3834410146109348,0.038625586666875676,0.03610841893084253,1.298950432164744,1.6566991898767833,0.9826222033413521,0.6740769865354314,0.5272137147056533,0.316328228823392,0.21088548588226125,0.04234337039621203,0.01,0.053020709338995914,0.8461618938337263,0.09380710858106468,0.005502506788194072
2037,0.5394051118868358,0.3709826964804162,0.03950063634347299,0.03829773309852155,1.8012736820440471,1.8303027596555275,1.4055582033762217,0.42474455627930574,0.6595257977797089,0.39571547866782536,0.2638103191118835,0.03621976484129989,0.01,0.04598718786213988,0.9014751017344559,0.10095327888331504,0.005553504169294931,0.5255891250325099,0.38414412649107504,0.0384888916261307,0.03731678342800822,1.284798356196383,1.649068852900724,0.9630876088717684,0.6859812440289557,0.5361845788743576,0.3217107473246146,0.21447383154974295,0.043165818613443416,0.01,0.05358245720543437,0.8482899470808825,0.09421526884631704,0.005540767508218567
2038,0.5416157444932435,0.37096046271531447,0.03944587467144292,0.038996303208557306,1.802782074372375,1.82499904656372,1.3950859268715317,0.4299131196921885,0.6794935791680723,0.40769614750084343,0.27179743166722886,0.03681794073366805,0.01,0.04622493317400511,0.9052238609441023,0.10150938332225613,0.0055886068893646465,0.527661079791596,0.38474164487730084,0.038429556441221945,0.037991551672730134,1.2744201037208651,1.6427736057022841,0.946865052263191,0.6959085534390932,0.5459250857627901,0.3275550514576741,0.21837003430511598,0.04388400411752237,0.01,0.054030542152401995,0.8503114225282125,0.09459816909806291,0.005574944631705379
2039,0.5437350287028854,0.37098352892277814,0.03945885103296839,0.03969262638973163,1.8061401721249901,1.820625032286412,1.3861976885720313,0.4344273437143805,0.6999041392549312,0.41994248355295877,0.27996165570197246,0.0373609411269503,0.01,0.04640500245665329,0.9087094095302779,0.10204183125707901,0.0056215741776812385,0.529624972883064,0.38530964878575147,0.03843488428212395,0.03866257573341741,1.2668541368424961,1.6377156431457145,0.933296470998312,0.7044191721474024,0.55592944307364,0.33355766584418406,0.22237177722945595,0.044517880015140655,0.01,0.05439543379244062,0.8522180343058989,0.09497098168710211,0.005606463093591917
2040,0.5457813296690737,0.37104878582042805,0.039476363574964105,0.04038778761936074,1.811110516387219,1.8170444327339474,1.3786398203143688,0.4384046124195785,0.7207844934547503,0.4324706960728502,0.28831379738190005,0.03785697445335287,0.01,0.046535591576451894,0.9119688492546385,0.10255707828549185,0.005652786551297686,0.5315039495985767,0.38585861462847953,0.038443680674465054,0.039331244100013235,1.2616510763711482,1.6337046994100852,0.9219376517457912,0.7117670476642939,0.5661890410422614,0.3397134246253569,0.2264756164169045,0.045080281030279064,0.01,0.054689946413221835,0.854024730174964,0.0953385836495356,0.005635820294794679
2041,0.547721103177006,0.3711200986114719,0.03948521432803036,0.041079052145810285,1.8173881904354703,1.8140050454378565,1.3721275653481404,0.44187748008971617,0.7421010418122163,0.44526062508732983,0.2968404167248864,0.03831190535692561,0.01,0.04662262178687503,0.9150342394195043,0.10305050461696741,0.005682032041142052,0.5332681960025352,0.38635848016282487,0.038443304249822764,0.039995065981967934,1.258437427894888,1.6304768730706574,0.9124435273477752,0.7180333457228822,0.5766565009118545,0.34599390054711276,0.23066260036474176,0.045579619058004936,0.01,0.054922599773803725,0.8557509438632003,0.09569616193515779,0.005662866149690471
2042,0.5496023866031193,0.37122214017988275,0.039488931477434125,0.041769751246498066,1.824911368033756,1.81153514909207,1.3665675050075858,0.4449676440844841,0.7639064383769502,0.4583438630261702,0.30556257535077996,0.038731420323722426,0.01,0.04667195559109847,0.9179247647330249,0.10353330075673436,0.005709935082819732,0.5349683672133526,0.38684652240696304,0.03843747718427938,0.04065754694658075,1.2569267401863409,1.6279958823357337,0.904514942952379,0.7234809393833546,0.5873529953899365,0.3524117972339619,0.23494119815597456,0.04602591792711798,0.01,0.055103341133865905,0.8573962101472676,0.09605215147108552,0.0056883228389286306
2043,0.5514014612457735,0.3713434620902474,0.0394913726544223,0.04245788311936641,1.833178928353863,1.8093960651316308,1.3615518723722408,0.4478441927593898,0.7860450933027036,0.47162705598162225,0.3144180373210813,0.03912281408668035,0.01,0.04669202791971126,0.920628634080865,0.10399978920620458,0.005736403968050677,0.5365887005752363,0.38732096500530033,0.038430482735198425,0.0413172810770044,1.256590285804146,1.6260337661107167,0.8977067740867232,0.7283269920239936,0.5981391861957047,0.35888351171742283,0.2392556744782819,0.046428897776244794,0.01,0.05524343123200168,0.8589396933852043,0.09640203151445657,0.00571219625825889
2044,0.55304245918657,0.3714363879099466,0.03947617073673737,0.043137283487618396,1.8416119425450266,1.80721492511451,1.3566247354800334,0.4505901896344766,0.8083120117749885,0.48498720706499315,0.3233248047099953,0.03949189133974754,0.01,0.04668938634810046,0.9231374631946698,0.1044339716670375,0.005760768860924267,0.5380638719393599,0.38773767973813256,0.03840699917903151,0.04196893360587868,1.2569990588518842,1.624290800235142,0.8916878092623352,0.7326029909728067,0.6088520826492484,0.3653112495895491,0.24354083305969934,0.04679406324514346,0.01,0.05534983727546919,0.8603753943677646,0.09673120007363853,0.005733889106919103
