,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),1.2756180736319296,1.231398743596554,1.2006974071039613,1.1681733483968735,1.1382103847036382,1.1106692198806354,1.085230836812996,1.0614216624165846,1.038950045414158,1.0174278985799459,1.1329793416144616,1.1786813513561742
1,Consumption ($C_t$),0.6867766261396898,0.7150062105249635,0.9512534560732283,1.0763014871974264,1.1749987625643556,1.2589028076701103,1.330605483890144,1.3919268087546877,1.4444982587679371,1.48966181545822,1.148397546562733,2.227086394326238
2,Capital Stock ($K_t$),0.8111172826968019,0.8551170123751142,0.9027448650207437,0.9307211577469908,0.9497370508635327,0.9616770739660564,0.9674796194058338,0.9677940830844121,0.9632428879775994,0.9542244134716847,0.9259776230663841,1.839778366451624
3,Labor ($L_t$),1.5613691662748388,1.4627163304092903,1.3837477799266074,1.3139841729139599,1.2538997666307647,1.2020952390293633,1.1574684036073033,1.1188488060244468,1.085378825437455,1.056184589657212,1.2593488608417702,0.7756158006115003
4,Real interest rate ($r_t$),0.8942085090544137,0.7212657074125878,0.5687522949421705,0.45203794807681774,0.358002365999685,0.2824947532022876,0.2229346436396147,0.17705321138166286,0.1430243380771137,0.11930342337517176,0.3909521893260161,-1.203975560913722
5,Wage rate,-0.281357756789134,-0.22798263707611205,-0.18055090687089928,-0.1439181213903621,-0.11425490781169939,-0.09033826295170914,-0.07140943293578358,-0.05679050913962751,-0.04592950303017316,-0.0383514015156122,-0.12538584834837252,0.39996110944645824
