,Variable,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2021-2030,SS
0,GDP ($Y_t$),-0.58990768987543,-0.008943808380908405,-1.4790950326141867,-1.7698230517352616,-1.717562024991398,-3.9866467753676944,-3.964265823753194,-3.9435715397059568,-3.9007406083224194,-3.8944995910875946,-2.4628306099750503,-0.5375152384547532
1,Consumption ($C_t$),-2.8689103468139,15.575734550427303,3.0424449812878818,-1.047244065018934,-2.2441230472933396,-4.610201556243428,-4.43381589919289,-4.847973686725775,-5.013739448845631,-5.344274369271231,-1.0989575713616468,-5.255168359851202
2,Capital Stock ($K_t$),-0.2915519409228681,0.09440196406168389,-3.238171334326624,-4.2199318987461085,-4.423938231082226,-4.804596533778403,-4.920303672535634,-4.991517072904451,-4.977596901208224,-4.920962034212349,-3.6499978094638093,2.643731474809293
3,Labor ($L_t$),-0.750184133996261,-0.0645081615407757,-0.5185729518500931,-0.424532183258373,-0.22853102647405868,-3.5431980661846385,-3.4453996438938357,-3.3744098709081127,-3.315738439834649,-3.33708816787706,-1.8096280134946556,-2.209449715998555
4,Real interest rate ($r_t$),-2.269004103198256,-1.9241868213347901,1.510598484230612,2.8310089790091157,3.3231424747072067,-0.1697931238647804,0.1009222445855347,0.2765139719696214,0.32576239394720025,0.22044330365735684,0.4392880695101369,-7.017159020186494
5,Wage rate,0.16149229375346252,0.055625709015974155,-0.9654525688653435,-1.3509345979138692,-1.4923479526395027,-0.4596663573539479,-0.5373135071235685,-0.588968883170341,-0.6049906963877263,-0.576575700811101,-0.6344332093732962,1.7097155318078459
